.,Spanish
quest.name,La niebla que no cesa
quest.description,Una espesa niebla se ha instalado alrededor de la mansión Winthrope. Hace semanas que nadie ha visto al señor Winthrope y hay personas que afirman haber visto unas siluetas deformes merodeando entre la niebla.
TokenPortal2.button1,{action} Tratar de cerrar el portal
TokenPortal3.button1,{action} Tratar de cerrar el portal
TokenMansionDoor.button1,{action} Entrar en la mansión Winthrope
TokenPortal.button1,{action} Buscar
TokenLobP1.button1,{action} Examinar el cuadro
TokenLob4.button1,{action} Explorar
TokenLob1.button1,{action} Explorar
TokenLob3.button1,{action} Explorar
TokenLibD1.button1,{action} Explorar
TokenLob2.button1,{action} Explorar
TokenHall2.button1,{action} Explorar
TokenHall1.button1,{action} Explorar
TokenKitD1.button1,{action} Explorar
TokenOfficeD1.button1,{action} Explorar
TokenHall3.button1,{action} Explorar
TokenBall2.button1,{action} Explorar
TokenBallD1.button1,{action} Explorar
TokenB1.button1,{action} Explorar
TokenBath1.button1,{action} Explorar
TokenB2.button1,{action} Explorar
TokenCellar1.button1,{action} Explorar
TokenSearch1.button1,{action} Buscar
EventPuzzle.button1,{action} Buscar
TokenLobT2.button1,{action} Buscar
TokenRat.button1,{action} Buscar
TokenWindow.button1,{action} Buscar
TokenBed.button1,{action} Buscar
TokenLobT1.button1,{action} Buscar
TokenDiningTable.button1,{action} Buscar
TokenPiano.button1,{action} Buscar
TokenDesk.button1,{action} Buscar
TokenLobT3.button1,{action} Buscar
TokenSedative.button1,{action} Buscar
TokenB2Dresser.button1,{action} Buscar
TokenB2bed.button1,{action} Buscar
TokenB2bucket.button1,{action} Buscar
TokenLib1.button1,{action} Examinar la obstrucción
TokenLibS2.button1,{action} Examinar la obstrucción
TokenLob5.button1,{action} Forzar la puerta
EventGhostDefeated.text,"A medida que la aparición fantasmal se desvanece, oyes un tenue susurro: \n «Gracias». \n Todos los investigadores en el Dormitorio ganan 1 Pista {clue} y adquieren el estado Concentrado."
TokenBath1.text,"Justo delante tienes la puerta del cuarto de baño. Parece que alguien ha escrito algo de forma apresurada sobre la puerta: «NO ABRIR»... \n ¿Podría ser una advertencia?.. ¿Sería prudente abrirla?... \n ¡¿Qué podría ser peor que lo que ya has encontrado?!"
EventSetElimination.text,Cuando un investigador es eliminado, la partida termina al final de la siguiente fase de investigadores. Al final de esa fase de investigadores, pulsa el botón «Finalizar la partida».
EventReadDiary2.text,"Continúas leyendo; el contenido del diario va degenerando y llenándose de entradas más propias de un demente o de una mente que divaga: «¿Investigación sobre nigromancia?»..«¿Qué hay de la brujería vudú?»... \n Pasas a la última entrada del diario... \n «Sí, sí, todos lo han entendido al revés; en lugar de animar a los muertos se podría canalizar la energía negativa para sanar y restaurar la vida». \n Sufres 1 de Horror (anulado por {lore}: -1). \n Ganas el Objeto único {c:QItem15} y 1 Pista {clue}."
EventLibraryD5.text,"Una barricada parece estar bloqueando la puerta. \n Haz una tirada de {strength} para forzar la puerta y abrirla."
TokenLib1.text,Una silla y varios libros están apilados contra la puerta; la improvisada barricada impide que la puerta se abra.
TokenLobT1.text,En el centro del vestíbulo hay una mesa circular.
TokenOfficeD1.text,Una puerta conduce de nuevo al vestíbulo.
TokenHall3.text,Una puerta conduce de nuevo al vestíbulo.
TokenLibD1.text,Una puerta conduce al interior de la mansión.
TokenBall2.text,Una puerta conduce a la parte trasera de la mansión.
TokenLob2.text,Una puerta de caoba conduce al interior de la mansión.
TokenHall1.text,Una sencilla puerta de madera conduce al interior de la mansión.
TokenKitD1.text,Una sencilla puerta de madera da acceso a la cocina.
EventLobP1.text,"Una placa debajo de la pintura identifica a la persona como señor Earl Winthrope III, el actual Señor de la mansión Winthrope. \n Ganas 1 Pista {clue}."
EventSpawn0.text,Un cadáver putrefacto sale arrastrándose del interior del desagüe.
